cohort_name,estimate,value,diagnostics,source
hypertension,Clinical description,"Hypertension is a chronic medical condition characterised by persistently elevated blood pressure in the arteries. Most cases are classified as primary (or essential) hypertension, which has no identifiable cause and tends to develop over many years, while a smaller proportion are due to an underlying condition (secondary hypertension).",cohort_count,gemini-2.5-pro
hypertension,Frequency,"Hypertension is extremely common, affecting over a quarter of adults globally, and is a leading risk factor for premature death. It is well-documented in primary care, hospital, and insurance claims data, making it readily identifiable in most real-world data sources.",cohort_count,gemini-2.5-pro
hypertension,Median age of incident cases,"55 to 65 (The incidence of hypertension increases steadily with age, with most new diagnoses occurring in middle-aged and older adults.)",cohort_characteristics,gemini-2.5-pro
hypertension,Percentage male,"45% to 55% (At younger ages, hypertension is more common in men, but after menopause, the incidence in women increases and may exceed that of men in older age groups.)",cohort_characteristics,gemini-2.5-pro
hypertension,Survival at five years,"85% to 95% (While hypertension itself is not directly fatal, it is a major risk factor for life-threatening events such as heart attacks and strokes, leading to a modest reduction in long-term survival compared to the general population.)",cohort_survival,gemini-2.5-pro
hypertension,Cohort overlap,"Expect to see overlap with type 2 diabetes (20-40%), hospitalised inpatients (30-60%), users of warfarin (5-15%), users of acetaminophen (70-90%), users of morphine (10-25%), and, among males, measurement of prostate specific antigen level (40-70%).",compare_cohorts,gemini-2.5-pro
hypertension,Cohort timing,"The diagnosis of hypertension often occurs concurrently with or precedes the diagnosis of type 2 diabetes, and typically precedes hospitalisation or the initiation of warfarin or morphine by several years. Acetaminophen use is sporadic and can occur at any time, while prostate specific antigen screening often begins around the same age that hypertension is diagnosed.",compare_cohorts,gemini-2.5-pro
hypertension,Frequently seen comorbidities,"type 2 diabetes mellitus, dyslipidaemia, obesity, chronic kidney disease, ischaemic heart disease, heart failure, atrial fibrillation, stroke, peripheral arterial disease, and gout are the most common comorbidities. (These conditions often share common underlying risk factors with hypertension, such as metabolic syndrome, or are direct consequences of long-term damage caused by elevated blood pressure.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
hypertension,Frequently seen signs and symptoms,"headache, dizziness, visual disturbances, chest pain, dyspnoea, palpitations, epistaxis, haematuria, tinnitus, and fatigue are the most common signs and symptoms. (Hypertension is frequently asymptomatic and discovered during routine screening, but these symptoms may arise with very high blood pressure levels or as a result of end-organ damage.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
hypertension,Frequently seen medications,"ramipril, amlodipine, indapamide, losartan, bisoprolol, doxazosin, atorvastatin, aspirin, metformin, and furosemide are the most common medications. (This list includes first and second-line antihypertensive drugs from various classes, as well as medications commonly prescribed for concurrent conditions like dyslipidaemia and type 2 diabetes.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
users_of_warfarin,Clinical description,"Warfarin is an oral anticoagulant medication used to prevent the formation of blood clots. It is most commonly prescribed for individuals with atrial fibrillation, venous thromboembolism (including deep vein thrombosis and pulmonary embolism), or those with mechanical heart valves.",cohort_count,gemini-2.5-pro
users_of_warfarin,Frequency,"Warfarin is a frequently prescribed medication, and users can be readily identified in both primary care electronic health records and insurance claims data through prescription records.",cohort_count,gemini-2.5-pro
users_of_warfarin,Median age of incident cases,"65 to 75 (The most common indications for warfarin, such as atrial fibrillation and venous thromboembolism, increase in incidence with age.)",cohort_characteristics,gemini-2.5-pro
users_of_warfarin,Percentage male,"50% to 60% (The primary indications for warfarin therapy, particularly atrial fibrillation, are slightly more common in men.)",cohort_characteristics,gemini-2.5-pro
users_of_warfarin,Survival at five years,"45% to 65% (Mortality is driven by the underlying cardiovascular conditions for which warfarin is prescribed and the advanced age of many patients, rather than the medication itself.)",cohort_survival,gemini-2.5-pro
users_of_warfarin,Cohort overlap,"Overlap with hypertension will be very high (70-90%), high with hospitalised_inpatient (40-60%), and moderate with type_2_diabetes (20-40%), user_of_acetaminophen (30-50%), measurement_of_prostate_specific_antigen_level (20-40% of males), and user_of_morphine (10-25%).",compare_cohorts,gemini-2.5-pro
users_of_warfarin,Cohort timing,"Hypertension and type_2_diabetes will typically be diagnosed years before warfarin initiation. Hospitalisation often occurs concurrently with or immediately precedes the start of warfarin for an acute event, while other cohort entries have a less distinct temporal relationship.",compare_cohorts,gemini-2.5-pro
users_of_warfarin,Frequently seen comorbidities,"hypertension, atrial fibrillation, ischaemic heart disease, type 2 diabetes mellitus, heart failure, chronic kidney disease, stroke, dyslipidaemia, peripheral vascular disease, chronic obstructive pulmonary disease (These conditions are common as they are risk factors for, or consequences of, the thromboembolic diseases for which warfarin is indicated.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
users_of_warfarin,Frequently seen signs and symptoms,"bruising, bleeding, dyspnoea, palpitations, chest pain, oedema, fatigue, haematuria, epistaxis, syncope (These are typically related to the underlying cardiovascular condition requiring anticoagulation or are a direct side effect of warfarin's anticoagulant properties.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
users_of_warfarin,Frequently seen medications,"ramipril, bisoprolol, atorvastatin, furosemide, amlodipine, aspirin, lansoprazole, metformin, digoxin, spironolactone (These medications are commonly used to manage the underlying cardiovascular diseases and comorbidities frequently seen in patients taking warfarin.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
measurement_of_prostate_specific_antigen_level,Clinical description,Measurement of prostate-specific antigen (PSA) level is a blood test primarily used for screening and monitoring prostate cancer. Elevated levels can indicate malignancy but are also commonly caused by benign conditions such as benign prostatic hyperplasia or prostatitis.,cohort_count,gemini-2.5-pro
measurement_of_prostate_specific_antigen_level,Frequency,"Prostate-specific antigen testing is a very common procedure, particularly in primary care for men over 50, and is therefore readily identifiable in most types of real-world healthcare data.",cohort_count,gemini-2.5-pro
measurement_of_prostate_specific_antigen_level,Median age of incident cases,"55 to 65 (PSA testing is most common in men over 50 due to the increased risk of prostate conditions, such as benign prostatic hyperplasia and prostate cancer, with age.)",cohort_characteristics,gemini-2.5-pro
measurement_of_prostate_specific_antigen_level,Percentage male,100% to 100% (The prostate-specific antigen test is exclusively performed on males as the prostate gland is part of the male reproductive system.),cohort_characteristics,gemini-2.5-pro
measurement_of_prostate_specific_antigen_level,Survival at five years,"90% to 98% (As PSA testing is often performed for screening in asymptomatic men, the five-year survival of this cohort is high and reflects that of the general male population of a similar age.)",cohort_survival,gemini-2.5-pro
measurement_of_prostate_specific_antigen_level,Cohort overlap,"Expect to see a 30-50% overlap with hypertension, 10-25% with type 2 diabetes, 5-15% with hospitalised inpatient, 5-10% with user of warfarin, 40-60% with user of acetaminophen, and 1-5% with user of morphine.",compare_cohorts,gemini-2.5-pro
measurement_of_prostate_specific_antigen_level,Cohort timing,"For people also in the other cohorts, entry into the hypertension, type 2 diabetes, and user of warfarin cohorts would typically precede the PSA measurement by several years, whereas entry into the hospitalised inpatient and user of morphine cohorts would often occur weeks to years after an abnormal PSA result, with no typical timing relationship for the user of acetaminophen cohort.",compare_cohorts,gemini-2.5-pro
measurement_of_prostate_specific_antigen_level,Frequently seen comorbidities,"the most common comorbidities are hypertension, benign prostatic hyperplasia, hyperlipidaemia, type 2 diabetes mellitus, ischaemic heart disease, and obesity. (The most common comorbidities are those prevalent in the older male population for whom PSA testing is most indicated.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
measurement_of_prostate_specific_antigen_level,Frequently seen signs and symptoms,"the most common signs and symptoms are nocturia, urinary frequency, weak urinary stream, urinary urgency, dysuria, and haematuria. (These symptoms are commonly associated with prostatic conditions like benign prostatic hyperplasia or prostate cancer, which are primary indications for PSA testing.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
measurement_of_prostate_specific_antigen_level,Frequently seen medications,"the most common medications are alpha-adrenoceptor antagonists, 5-alpha-reductase inhibitors, statins, angiotensin-converting enzyme inhibitors, beta blocking agents, and metformin. (Common medications reflect the management of age-related comorbidities and specific urological conditions like benign prostatic hyperplasia.)","large_scale_characteristics, compare_large_scale_characteristics",gemini-2.5-pro
